# Residuals   
# Time        	p             	Ux            	Uz            	k             	epsilon       
8.65          	5.561249e-03	1.993299e-03	2.086936e-03	6.282518e-03	3.330396e-03
8.7           	5.550967e-03	1.980047e-03	2.077194e-03	6.226734e-03	3.289925e-03
8.75          	5.510352e-03	1.967014e-03	2.066727e-03	6.166897e-03	3.249291e-03
8.8           	5.417609e-03	1.953987e-03	2.057169e-03	6.103247e-03	3.211035e-03
8.85          	5.397879e-03	1.941290e-03	2.047022e-03	6.034295e-03	3.177934e-03
8.9           	5.381801e-03	1.928589e-03	2.037045e-03	5.969763e-03	3.141537e-03
8.95          	5.447545e-03	1.916172e-03	2.026967e-03	5.916750e-03	3.104388e-03
9             	5.448267e-03	1.903844e-03	2.017343e-03	5.859188e-03	3.067046e-03
9.05          	5.477925e-03	1.891750e-03	2.007328e-03	5.799305e-03	3.032691e-03
9.1           	5.420290e-03	1.879757e-03	1.997591e-03	5.733818e-03	3.001316e-03
9.15          	5.383349e-03	1.867987e-03	1.987825e-03	5.674855e-03	2.967197e-03
9.2           	5.501594e-03	1.856313e-03	1.978104e-03	5.623861e-03	2.932825e-03
9.25          	5.544206e-03	1.844827e-03	1.968229e-03	5.569416e-03	2.898492e-03
9.3           	5.438658e-03	1.833366e-03	1.958582e-03	5.512132e-03	2.867857e-03
9.35          	5.476711e-03	1.822154e-03	1.949143e-03	5.450837e-03	2.838678e-03
9.4           	5.359845e-03	1.811062e-03	1.940871e-03	5.396058e-03	2.807220e-03
9.45          	5.406140e-03	1.800149e-03	1.932983e-03	5.347591e-03	2.775731e-03
9.5           	5.474553e-03	1.789303e-03	1.924376e-03	5.295711e-03	2.744215e-03
9.55          	5.482544e-03	1.778517e-03	1.915020e-03	5.241709e-03	2.716524e-03
9.6           	5.310187e-03	1.767971e-03	1.906227e-03	5.184057e-03	2.689160e-03
9.65          	5.319752e-03	1.757462e-03	1.897423e-03	5.133829e-03	2.660116e-03
9.7           	5.283092e-03	1.747082e-03	1.888810e-03	5.087314e-03	2.630972e-03
9.75          	5.401884e-03	1.736829e-03	1.880173e-03	5.038773e-03	2.601803e-03
9.8           	5.361153e-03	1.726721e-03	1.872436e-03	4.987205e-03	2.576480e-03
9.85          	5.241703e-03	1.716584e-03	1.863329e-03	4.933538e-03	2.550870e-03
9.9           	5.158995e-03	1.706660e-03	1.854880e-03	4.886795e-03	2.524087e-03
9.95          	5.208564e-03	1.696824e-03	1.846488e-03	4.842760e-03	2.497095e-03
10            	5.142804e-03	1.687098e-03	1.838351e-03	4.796313e-03	2.470491e-03
10.05         	5.150044e-03	1.677483e-03	1.829882e-03	4.747670e-03	2.447615e-03
10.1          	5.093834e-03	1.667969e-03	1.821649e-03	4.697118e-03	2.423798e-03
10.15         	5.158448e-03	1.658562e-03	1.813330e-03	4.654047e-03	2.399215e-03
10.2          	5.163490e-03	1.649241e-03	1.805310e-03	4.611881e-03	2.374333e-03
10.25         	5.122462e-03	1.640084e-03	1.797242e-03	4.568075e-03	2.350052e-03
