# Time step   
# Time        	deltaT
2.14376       	3.643556e-03
2.14749       	3.722764e-03
2.15129       	3.805862e-03
2.15519       	3.893152e-03
2.15917       	3.984972e-03
2.16321       	4.042447e-03
2.16732       	4.101895e-03
2.17148       	4.163423e-03
2.17564       	4.163423e-03
2.17978       	4.142502e-03
2.18391       	4.121685e-03
2.18805       	4.142607e-03
2.19221       	4.163851e-03
2.1964        	4.185426e-03
2.20061       	4.207339e-03
2.20488       	4.274836e-03
2.20923       	4.344916e-03
2.21362       	4.393193e-03
2.21809       	4.468077e-03
2.22263       	4.546008e-03
2.22729       	4.654895e-03
2.23206       	4.769830e-03
2.23698       	4.922709e-03
2.2421        	5.120939e-03
2.2474        	5.299993e-03
2.25282       	5.414382e-03
2.25835       	5.534701e-03
2.26397       	5.618560e-03
2.26967       	5.705670e-03
2.27525       	5.575005e-03
2.28066       	5.408587e-03
2.28587       	5.212624e-03
2.29136       	5.493304e-03
2.29654       	5.172527e-03
2.30175       	5.210842e-03
2.30712       	5.371176e-03
2.31229       	5.170759e-03
2.31724       	4.947560e-03
2.32204       	4.808192e-03
2.32672       	4.675553e-03
2.33127       	4.549186e-03
2.33564       	4.370787e-03
2.33979       	4.152248e-03
2.34375       	3.953338e-03
2.34756       	3.815430e-03
2.35127       	3.707037e-03
2.35489       	3.624199e-03
2.35846       	3.564129e-03
2.36189       	3.430712e-03
2.36523       	3.340903e-03
2.36853       	3.306102e-03
2.37184       	3.306102e-03
2.3752        	3.359141e-03
2.37861       	3.414209e-03
2.38209       	3.471431e-03
2.38558       	3.491043e-03
2.38911       	3.531170e-03
2.39272       	3.614748e-03
2.39643       	3.702913e-03
2.40027       	3.844425e-03
2.40432       	4.052232e-03
2.40846       	4.136653e-03
2.41268       	4.225296e-03
2.417         	4.318501e-03
2.42139       	4.383441e-03
2.42587       	4.485381e-03
2.4305        	4.630071e-03
2.43533       	4.826261e-03
2.44011       	4.785360e-03
2.44478       	4.665726e-03
2.44944       	4.665726e-03
2.45419       	4.746170e-03
2.45911       	4.917203e-03
2.46421       	5.102758e-03
2.46946       	5.252839e-03
2.47499       	5.526424e-03
2.48082       	5.833448e-03
2.487         	6.180677e-03
2.4927        	5.699957e-03
2.49847       	5.764730e-03
2.50482       	6.348500e-03
2.51038       	5.563854e-03
2.51594       	5.563854e-03
2.52157       	5.628550e-03
2.52727       	5.695556e-03
2.53357       	6.303082e-03
2.54043       	6.859237e-03
2.54729       	6.859237e-03
2.55415       	6.859237e-03
2.5609        	6.755309e-03
2.56766       	6.755309e-03
2.57431       	6.651381e-03
2.58096       	6.651381e-03
2.58761       	6.651381e-03
2.59437       	6.760420e-03
2.60125       	6.875003e-03
2.60801       	6.758478e-03
2.61454       	6.533195e-03
2.62107       	6.533195e-03
2.62761       	6.533195e-03
2.63426       	6.649859e-03
2.64091       	6.649859e-03
2.64768       	6.775328e-03
2.65446       	6.775328e-03
2.66123       	6.775328e-03
2.66801       	6.775328e-03
2.67465       	6.639822e-03
2.68116       	6.507025e-03
2.68753       	6.376885e-03
2.69378       	6.249347e-03
2.69991       	6.124360e-03
2.70603       	6.124360e-03
2.71203       	5.999373e-03
2.71791       	5.876937e-03
2.72378       	5.876937e-03
2.72966       	5.876937e-03
2.73554       	5.876937e-03
2.74141       	5.876937e-03
2.74729       	5.876937e-03
2.75317       	5.876937e-03
2.75905       	5.876937e-03
2.76492       	5.876937e-03
2.7708        	5.876937e-03
2.77668       	5.876937e-03
2.7824        	5.726246e-03
2.78798       	5.579420e-03
2.79328       	5.300449e-03
2.79872       	5.439934e-03
2.80402       	5.296778e-03
2.80932       	5.296778e-03
2.81447       	5.153622e-03
2.81962       	5.153622e-03
2.82478       	5.153622e-03
2.82993       	5.153622e-03
2.83508       	5.153622e-03
2.84024       	5.153622e-03
2.84556       	5.325409e-03
2.85089       	5.325409e-03
2.85621       	5.325409e-03
2.86174       	5.530233e-03
2.86727       	5.530233e-03
2.87258       	5.309023e-03
2.87789       	5.309023e-03
2.88298       	5.087814e-03
2.88766       	4.680789e-03
2.89215       	4.493557e-03
2.89665       	4.493557e-03
2.90114       	4.493557e-03
2.90544       	4.298185e-03
2.90938       	3.940003e-03
2.913         	3.624803e-03
2.91663       	3.624803e-03
2.9201        	3.473769e-03
2.92358       	3.473769e-03
2.92705       	3.473769e-03
2.93052       	3.473769e-03
2.934         	3.473769e-03
2.93747       	3.473769e-03
2.94115       	3.678109e-03
2.94483       	3.678109e-03
2.94851       	3.678109e-03
2.95218       	3.678109e-03
2.95617       	3.984618e-03
2.96015       	3.984618e-03
2.96414       	3.984618e-03
2.96812       	3.984618e-03
2.97211       	3.984618e-03
2.97609       	3.984618e-03
2.98008       	3.984618e-03
2.98406       	3.984618e-03
2.98805       	3.984618e-03
2.99203       	3.984618e-03
2.99602       	3.984618e-03
3             	3.984618e-03
3.00442       	4.424779e-03
3.00895       	4.525342e-03
3.01319       	4.235256e-03
3.01687       	3.682144e-03
3.02          	3.130995e-03
3.02304       	3.043483e-03
3.02627       	3.224284e-03
3.0295        	3.234996e-03
3.03284       	3.335047e-03
3.03638       	3.542724e-03
3.03957       	3.190798e-03
3.04253       	2.964291e-03
3.04543       	2.892646e-03
3.04838       	2.955335e-03
3.05159       	3.204101e-03
3.05515       	3.565465e-03
3.05912       	3.969951e-03
3.06354       	4.417269e-03
3.06844       	4.902938e-03
3.0735        	5.062816e-03
3.0786        	5.090634e-03
3.08377       	5.176431e-03
3.08904       	5.265680e-03
3.09443       	5.390311e-03
3.09992       	5.488317e-03
3.10551       	5.590584e-03
3.1112        	5.697410e-03
3.11701       	5.809124e-03
